Full,ra dec,_r,_RAJ2000,_DEJ2000,Rmag
,,arcsec,"""h:m:s""","""d:m:s""",mag
1,15 41 41.7139729518 -52 49 08.188967025,0.496,15 41 41.749344,-52 49 07.80996,15.05
2,15 41 41.7139729518 -52 49 08.188967025,1.76,15 41 41.524656,-52 49 08.58000,15.12
1,15 41 49.7540123936 -52 46 45.463105791,0.163,15 41 49.771200,-52 46 45.41592,15.34
1,15 42 47.3247496447 -52 44 50.786109471,0.292,15 42 47.352672,-52 44 50.93016,16.24
1,15 42 52.3097776139 -52 49 49.341652196,0.008,15 42 52.308936,-52 49 49.33884,14.37
1,15 42 51.9803547001 -52 49 04.911378632,0.521,15 42 52.036008,-52 49 04.77984,17.01
1,15 41 45.5554346333 -52 46 37.748361673,0.814,15 41 45.580656,-52 46 38.52984,17.74
1,15 41 58.3353763264 -52 52 13.687561278,0.597,15 41 58.395336,-52 52 13.44000,15.75
1,15 41 57.3169912321 -52 52 52.762726832,0.689,15 41 57.364656,-52 52 53.29992,15.58
2,15 41 57.3169912321 -52 52 52.762726832,1.156,15 41 57.444672,-52 52 52.75992,
1,15 41 40.8120184000 -52 47 20.924003661,0.079,15 41 40.819344,-52 47 20.88096,14.04
1,15 41 47.8402307216 -52 54 32.278241092,0.326,15 41 47.809344,-52 54 32.10984,15.83
1,15 42 52.5391975261 -52 43 53.007585973,0.036,15 42 52.540464,-52 43 53.04216,13.77
1,15 41 39.6848558541 -52 50 32.476156735,0.376,15 41 39.684000,-52 50 32.10000,17.21
1,15 41 44.8045532644 -52 47 57.154042075,0.04,15 41 44.806344,-52 47 57.11784,14.89
1,15 42 47.7974552254 -52 52 43.853195648,0.008,15 42 47.796600,-52 52 43.85208,14.19
1,15 41 58.5087565254 -52 50 15.603740691,0.711,15 41 58.578672,-52 50 15.28008,17.17
2,15 41 58.5087565254 -52 50 15.603740691,1.794,15 41 58.619256,-52 50 14.11512,
1,15 41 55.9162618677 -52 48 17.676834345,0.397,15 41 55.945344,-52 48 17.38008,16.87
2,15 41 55.9162618677 -52 48 17.676834345,0.872,15 41 55.889328,-52 48 16.84008,17.16
1,15 42 41.7383742730 -52 52 50.354691427,0.078,15 42 41.746728,-52 52 50.37384,14.97
1,15 41 51.5182254941 -52 54 06.148897621,0.002,15 41 51.518400,-52 54 06.14808,13.76
1,15 42 02.5870752538 -52 51 39.636044539,1.334,15 42 02.622000,-52 51 38.34000,16.05
1,15 41 56.8188523370 -52 49 59.469683404,0.196,15 41 56.803272,-52 49 59.33316,15.23
1,15 41 57.0675299468 -52 53 52.390786053,0.087,15 41 57.060000,-52 53 52.33596,15.13
1,15 42 28.4339625312 -52 51 36.555277870,1.028,15 42 28.476000,-52 51 35.60004,16.05
1,15 42 24.7882769955 -52 53 18.629569132,0.006,15 42 24.788664,-52 53 18.62412,14.93
1,15 42 39.1106875530 -52 50 37.128149360,0.137,15 42 39.121056,-52 50 37.22784,15.52
1,15 42 15.4359663835 -52 54 29.814664910,0.327,15 42 15.432000,-52 54 29.49012,16.74
2,15 42 15.4359663835 -52 54 29.814664910,1.577,15 42 15.609336,-52 54 29.64996,16.62
1,15 42 27.9827264222 -52 52 56.199373948,0.175,15 42 27.978000,-52 52 56.03016,17.46
1,15 41 42.9450400774 -52 54 52.338965863,0.01,15 41 42.946128,-52 54 52.33896,13.55
1,15 42 12.9360917572 -52 53 07.457288240,0.656,15 42 12.969336,-52 53 08.04012,15.05
1,15 41 50.5907277343 -52 46 37.207235964,0.002,15 41 50.590536,-52 46 37.20612,13.04
1,15 41 55.5902064906 -52 54 19.957075292,0.37,15 41 55.626672,-52 54 19.78992,16.5
1,15 42 04.0173840931 -52 51 52.055002205,0.236,15 42 04.038000,-52 51 51.90984,16.81
1,15 42 19.2510100555 -52 45 03.839463934,0.074,15 42 19.243536,-52 45 03.86784,15.26
1,15 41 55.8950769793 -52 50 43.146773484,0.028,15 41 55.897992,-52 50 43.15704,15.19
1,15 42 08.2202341725 -52 50 14.322597968,0.02,15 42 08.218008,-52 50 14.32608,12.53
1,15 41 54.4316915727 -52 49 15.009730044,0.413,15 41 54.475344,-52 49 14.89008,17.44
