MAIN_ID,ra,dec
31,15:42:46.30,-52:49:08.51
166,15:42:10.98,-52:52:18.38
20,15:42:49.07,-52:54:09.30
128,15:42:21.71,-52:44:41.39
158,15:42:12.53,-52:54:31.90
276,15:41:53.79,-52:54:36.09
278,15:41:53.66,-52:54:35.85
130,15:42:21.02,-52:52:22.12
74,15:42:35.29,-52:52:42.42
42,15:42:44.18,-52:52:42.73
248,15:41:57.73,-52:51:18.73
117,15:42:24.42,-52:51:16.19
10,15:42:50.84,-52:44:27.57
307,15:41:48.72,-52:53:30.00
323,15:41:47.26,-52:51:01.07
53,15:42:41.70,-52:44:23.83
97,15:42:28.66,-52:54:52.48
351,15:41:42.10,-52:46:42.91
170,15:42:10.85,-52:51:40.98
38,15:42:44.80,-52:54:19.69
240,15:41:59.07,-52:54:53.02
242,15:41:59.07,-52:54:53.02
216,15:42:02.61,-52:45:42.18
33,15:42:45.59,-52:43:47.88
249,15:41:57.58,-52:46:38.66
315,15:41:48.00,-52:51:03.89
121,15:42:23.80,-52:51:48.72
78,15:42:34.61,-52:53:44.79
72,15:42:35.86,-52:45:46.96
222,15:42:01.21,-52:48:41.43
154,15:42:12.91,-52:45:02.46
96,15:42:28.48,-52:44:12.49
169,15:42:11.01,-52:53:02.55
300,15:41:50.59,-52:51:05.96
164,15:42:11.37,-52:50:37.52
145,15:42:18.43,-52:52:52.57
9,15:42:51.32,-52:50:09.96
29,15:42:46.75,-52:48:20.46
304,15:41:49.24,-52:48:29.67
14,15:42:49.65,-52:46:43.19
25,15:42:47.71,-52:49:26.07
51,15:42:42.40,-52:54:25.38
212,15:42:03.20,-52:48:42.83
150,15:42:14.90,-52:51:56.91
200,15:42:04.49,-52:51:02.78
108,15:42:26.19,-52:49:39.26
356,15:41:41.21,-52:45:24.47
244,15:41:58.44,-52:47:32.13
305,15:41:49.14,-52:47:34.93
227,15:42:00.19,-52:54:47.44
129,15:42:21.72,-52:54:47.82
69,15:42:37.02,-52:43:45.15
131,15:42:21.05,-52:53:39.71
32,15:42:45.99,-52:47:16.03
135,15:42:19.43,-52:45:18.92
257,15:41:56.57,-52:49:08.81
205,15:42:04.21,-52:53:19.85
203,15:42:04.21,-52:53:19.85
343,15:41:43.87,-52:51:17.90
195,15:42:05.05,-52:51:28.56
110,15:42:25.55,-52:52:13.09
157,15:42:12.37,-52:43:58.58
173,15:42:10.13,-52:44:58.96
58,15:42:40.58,-52:52:44.94
