Full,Ra dec,_r,_RAJ2000,_DEJ2000,Plx,e_,Gmag,e_
,,arcsec,"""h:m:s""","""d:m:s""",mas,mas,mag,mag
3,15:42:10.98 -52:52:18.38,1.95,15 42 11.0126130752,-52 52 20.188542571,-2.0041,0.8764,19.5346,0.0103
1,15:41:48.23 -52:45:42.60,0.543,15 41 48.2998413313,-52 45 42.608788109,0.4972,0.0951,16.2951,0.0008
1,15:42:03.37 -52:54:10.01,0.436,15 42 03.3635517234,-52 54 09.570489731,0.4786,0.0806,17.0609,0.0008
1,15:42:36.78 -52:45:58.08,0.793,15 42 36.8773111153,-52 45 57.972454926,0.421,0.0649,13.8976,0.0004
1,15:42:16.21 -52:50:12.47,1.206,15 42 16.3307549993,-52 50 12.736287069,0.6569,0.1124,17.4402,0.0011
1,15:42:30.83 -52:51:10.08,1.069,15 42 30.9552947912,-52 51 09.970392377,0.4855,0.1112,17.4613,0.0012
1,15:42:35.01 -52:45:40.43,1.024,15 42 35.1136403075,-52 45 40.774097026,0.3897,0.0677,14.6878,0.0004
1,15:42:04.21 -52:53:19.85,0.694,15 42 04.2856111917,-52 53 20.111297054,0.2133,0.0817,15.4763,0.0006
1,15:41:45.08 -52:54:38.29,1.109,15 41 45.2081248700,-52 54 38.396490239,0.427,0.0284,14.4311,0.0003
1,15:41:48.00 -52:51:03.89,1.113,15 41 48.1172551370,-52 51 04.326113775,0.3192,0.1115,17.6842,0.0012
1,15:41:58.40 -52:50:15.05,1.141,15 41 58.5087565254,-52 50 15.603740691,0.5317,0.1023,17.3253,0.0011
1,15:42:45.99 -52:47:16.03,1.409,15 42 46.1450365580,-52 47 16.400006244,0.2193,0.0834,15.9415,0.0007
2,15:42:45.99 -52:47:16.03,1.92,15 42 46.1906372813,-52 47 14.960125951,1.0143,0.2041,18.3677,0.0022
1,15:42:50.84 -52:44:27.57,1.022,15 42 50.9613227702,-52 44 27.610247317,0.3529,0.0766,16.2547,0.0009
2,15:42:50.84 -52:44:27.57,1.403,15 42 50.9971585713,-52 44 26.895912937,0.0524,0.3377,18.0968,0.0033
1,15:41:53.79 -52:54:36.09,0.814,15 41 53.7448480136,-52 54 35.367495160,0.3613,0.0866,17.0611,0.0009
1,15:42:05.89 -52:49:21.72,1.263,15 42 06.0254831213,-52 49 21.965224523,0.6507,0.1404,18.0033,0.0014
1,15:42:51.59 -52:43:59.91,0.952,15 42 51.6864980881,-52 44 00.289389868,0.3821,0.0836,16.7536,0.0008
1,15:42:28.66 -52:54:52.48,1.706,15 42 28.8530185061,-52 54 52.497406027,0.3404,0.0674,15.7783,0.0007
1,15:42:22.77 -52:45:55.98,1.239,15 42 22.9122169034,-52 45 56.033388853,0.3893,0.0745,16.6938,0.0007
1,15:41:48.49 -52:48:45.65,0.881,15 41 48.5867541204,-52 48 45.778019718,0.0865,0.3952,18.1714,0.004
1,15:42:28.34 -52:51:35.96,0.995,15 42 28.4339625312,-52 51 36.555277870,0.5228,0.1045,16.4322,0.001
2,15:42:28.34 -52:51:35.96,1.01,15 42 28.4258173861,-52 51 35.198953010,-1.5696,0.9982,20.03,0.0075
1,15:41:43.38 -52:53:30.36,0.939,15 41 43.4655031650,-52 53 30.772534796,0.4536,0.0605,16.3528,0.0007
1,15:42:34.44 -52:45:20.54,1.141,15 42 34.5745185688,-52 45 20.672584870,0.4847,0.0621,14.4154,0.0004
1,15:42:51.84 -52:49:04.38,1.336,15 42 51.9803547001,-52 49 04.911378632,0.5545,0.0984,17.0881,0.0009
1,15:42:06.47 -52:53:41.43,0.907,15 42 06.5718222983,-52 53 41.660816398,0.4284,0.0501,15.1579,0.0004
1,15:42:19.43 -52:45:18.92,0.63,15 42 19.4956023657,-52 45 19.242734819,0.2193,0.0839,14.8248,0.0004
1,15:42:11.45 -52:53:09.33,1.477,15 42 11.6193845832,-52 53 08.797916906,0.5854,0.0252,14.2134,0.0002
1,15:42:23.80 -52:51:48.72,0.955,15 42 23.9135736090,-52 51 48.555069726,0.3188,0.0621,16.2388,0.0007
1,15:42:01.55 -52:52:47.65,1.299,15 42 01.7048209575,-52 52 47.555710074,0.758,0.1429,17.9717,0.0013
1,15:42:24.17 -52:51:58.01,1.031,15 42 24.2822082613,-52 51 57.959477571,2.1304,0.1796,15.8049,0.0025
2,15:42:24.17 -52:51:58.01,1.606,15 42 24.3437529336,-52 51 57.688244964,? ,? ,18.1997,0.006
1,15:41:55.64 -52:49:04.47,0.867,15 41 55.7237788876,-52 49 04.821239547,0.4454,0.1383,18.0002,0.0013
1,15:41:39.13 -52:52:30.20,0.812,15 41 39.2148675697,-52 52 30.453892308,0.3981,0.1187,17.7702,0.0012
1,15:41:42.10 -52:46:42.91,0.98,15 41 42.2053910246,-52 46 43.233255966,0.3398,0.0453,15.9897,0.0005
1,15:41:57.53 -52:48:29.21,1.415,15 41 57.6880055700,-52 48 28.923989324,0.6892,0.1348,17.7253,0.0011
