Full,_1,_r,_RAJ2000,_DEJ2000,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag
,,arcsec,"""h:m:s""","""d:m:s""",mag,mag,mag,mag,mag,mag
1,15 42 38.7807880306 -52 53 54.407377164,0.415,15 42 38.76648,-52 53 54.8016,14.542,0.041,13.779,0.041,13.47,0.043
1,15 42 29.2087041542 -52 49 24.350208587,0.039,15 42 29.20992,-52 49 24.3876,14.082,0.034,13.566,0.037,13.341,0.046
1,15 42 09.3314727181 -52 53 07.910416884,0.091,15 42 09.34152,-52 53 07.9152,14.096,0.03,13.761,0.052,13.597,0.057
1,15 42 41.4158969720 -52 46 30.196291134,0.038,15 42 41.41344,-52 46 30.2268,14.828,0.036,14.255,0.047,14.157,0.055
1,15 42 34.9762600746 -52 47 33.462568972,0.236,15 42 34.99608,-52 47 33.6156,14.09,0.036,13.585,0.039,13.318,0.044
1,15 42 51.6405636795 -52 48 34.674835589,0.518,15 42 51.59328,-52 48 34.3836,12.164,0.036,11.403,0.039,10.884,0.026
1,15 42 22.6796540803 -52 54 36.157545986,0.105,15 42 22.69128,-52 54 36.1656,12.642,0.025,12.246,0.033,12.061,0.031
1,15 42 45.7687631931 -52 45 55.874535948,0.077,15 42 45.76320,-52 45 55.9332,14.557,0.053,14.151,0.055,13.884,0.081
1,15 42 11.6193845832 -52 53 08.797916906,0.094,15 42 11.62752,-52 53 08.7396,11.831,,11.051,0.04,10.849,0.035
1,15 42 11.6193845832 -52 53 08.797916906,0.094,15 42 11.62752,-52 53 08.7396,11.831,,11.051,0.04,10.849,0.035
1,15 42 33.9638335776 -52 49 03.310252469,0.102,15 42 33.96288,-52 49 03.2088,7.984,0.019,6.925,0.033,6.5,0.02
1,15 41 44.4461181186 -52 48 09.602527256,0.181,15 41 44.46432,-52 48 09.5292,12.157,0.024,11.839,0.027,11.754,0.028
1,15 42 15.2928775858 -52 46 34.604877313,0.088,15 42 15.29640,-52 46 34.6872,13.423,0.025,12.818,0.026,12.505,0.024
1,15 41 56.3143018617 -52 46 57.793721722,0.09,15 41 56.31624,-52 46 57.8820,14.072,0.03,13.722,0.044,13.62,0.049
1,15 41 39.4199242763 -52 53 39.143042219,0.121,15 41 39.43320,-52 53 39.1308,14.567,0.041,14.058,0.047,13.946,0.068
1,15 41 45.0913461007 -52 52 44.148288285,0.141,15 41 45.09984,-52 52 44.2668,14.559,,14.709,0.077,13.703,
1,15 42 38.1333578876 -52 53 25.902393842,0.045,15 42 38.13360,-52 53 25.9476,10.597,0.023,9.937,0.026,9.716,0.021
1,15 41 38.6407661177 -52 50 26.824261060,0.14,15 41 38.65080,-52 50 26.7180,13.448,0.029,13.095,0.027,13.034,0.034
1,15 42 00.3389500878 -52 49 39.515762952,0.107,15 42 00.33720,-52 49 39.4104,14.275,0.045,13.879,0.05,13.702,0.059
1,15 41 43.6965105695 -52 45 35.162774975,0.227,15 41 43.72128,-52 45 35.1972,14.92,0.046,14.479,0.071,14.345,0.097
1,15 42 44.1298184783 -52 54 44.416102628,0.025,15 42 44.12952,-52 54 44.3916,13.067,0.029,12.213,0.03,11.93,0.03
1,15 41 51.1712494242 -52 50 44.930529483,0.145,15 41 51.18432,-52 50 44.8476,13.303,0.025,13.128,0.023,13.014,0.03
1,15 42 06.8082160503 -52 50 53.864267312,0.055,15 42 06.81096,-52 50 53.8152,14.608,0.045,14.055,0.046,13.78,0.05
1,15 42 06.7471836093 -52 51 27.442282169,0.136,15 42 06.76200,-52 51 27.4176,13.005,0.024,12.173,0.024,11.885,0.022
1,15 41 41.7139729518 -52 49 08.188967025,0.245,15 41 41.72976,-52 49 07.9896,14.528,0.048,14.295,0.065,14.109,0.083
1,15 41 41.7139729518 -52 49 08.188967025,0.245,15 41 41.72976,-52 49 07.9896,14.528,0.048,14.295,0.065,14.109,0.083
1,15 41 49.7540123936 -52 46 45.463105791,0.202,15 41 49.75776,-52 46 45.2640,13.984,0.028,13.537,0.036,13.481,0.041
1,15 42 47.3247496447 -52 44 50.786109471,0.028,15 42 47.32512,-52 44 50.7588,14.728,0.05,14.283,0.058,14.271,0.095
1,15 42 52.3097776139 -52 49 49.341652196,0.047,15 42 52.31496,-52 49 49.3392,11.87,0.026,11.159,0.029,10.906,0.025
1,15 42 51.9803547001 -52 49 04.911378632,0.115,15 42 51.99264,-52 49 04.9404,14.617,0.046,13.84,0.047,13.61,0.051
1,15 41 45.5554346333 -52 46 37.748361673,0.201,15 41 45.56328,-52 46 37.5600,15.285,0.061,14.313,0.067,14.135,0.076
1,15 41 58.3353763264 -52 52 13.687561278,0.138,15 41 58.35000,-52 52 13.7280,14.145,0.029,13.697,0.033,13.548,0.041
1,15 41 40.8120184000 -52 47 20.924003661,0.218,15 41 40.82400,-52 47 20.7348,13.63,0.041,13.158,0.05,13.096,0.047
1,15 41 47.8402307216 -52 54 32.278241092,0.048,15 41 47.83608,-52 54 32.2488,14.221,0.034,13.926,0.039,13.82,0.056
1,15 42 52.5391975261 -52 43 53.007585973,0.061,15 42 52.53408,-52 43 52.9680,13.103,0.033,12.717,0.029,12.582,0.025
1,15 41 39.6848558541 -52 50 32.476156735,0.314,15 41 39.71952,-52 50 32.4744,15.818,0.084,15.131,0.113,14.649,
1,15 41 44.8045532644 -52 47 57.154042075,0.163,15 41 44.81784,-52 47 57.0444,13.802,0.024,13.425,0.031,13.323,0.036
1,15 42 47.7974552254 -52 52 43.853195648,0.059,15 42 47.80296,-52 52 43.8852,12.249,0.023,11.888,0.027,11.694,0.026
1,15 41 58.5087565254 -52 50 15.603740691,0.552,15 41 58.54416,-52 50 15.1548,14.791,0.047,14.055,0.051,13.585,
2,15 41 58.5087565254 -52 50 15.603740691,1.795,15 41 58.61928,-52 50 14.1144,14.737,,13.808,,13.699,0.058
1,15 41 55.9162618677 -52 48 17.676834345,0.143,15 41 55.90968,-52 48 17.5464,15.211,0.06,14.836,0.109,14.672,0.15
1,15 42 41.7383742730 -52 52 50.354691427,0.039,15 42 41.74248,-52 52 50.3652,13.195,0.042,12.93,0.05,12.724,0.046
1,15 41 51.5182254941 -52 54 06.148897621,0.137,15 41 51.53328,-52 54 06.1308,11.551,0.022,10.926,0.023,10.79,0.022
1,15 42 02.5870752538 -52 51 39.636044539,0.886,15 42 02.63088,-52 51 38.8440,14.328,0.088,12.005,,11.673,
1,15 41 56.8188523370 -52 49 59.469683404,0.092,15 41 56.82816,-52 49 59.4336,13.617,0.032,13.322,0.04,13.134,0.045
1,15 41 57.0675299468 -52 53 52.390786053,0.116,15 41 57.08016,-52 53 52.3716,13.617,0.029,13.128,0.033,12.892,0.046
1,15 42 28.4339625312 -52 51 36.555277870,0.243,15 42 28.43904,-52 51 36.3168,12.265,0.03,11.16,0.03,10.71,0.027
1,15 42 24.7882769955 -52 53 18.629569132,0.023,15 42 24.79032,-52 53 18.6432,12.864,0.022,12.468,0.026,12.294,0.026
1,15 42 39.1106875530 -52 50 37.128149360,0.163,15 42 39.09888,-52 50 37.2516,11.534,0.026,10.474,0.029,9.97,0.023
1,15 42 15.4359663835 -52 54 29.814664910,0.16,15 42 15.45360,-52 54 29.8044,15.073,0.056,14.668,0.078,13.128,
1,15 42 27.9827264222 -52 52 56.199373948,0.042,15 42 27.97848,-52 52 56.2152,15.035,0.061,14.505,0.071,14.337,0.085
1,15 41 42.9450400774 -52 54 52.338965863,0.081,15 41 42.95184,-52 54 52.2864,11.052,0.021,10.387,0.023,10.199,0.02
1,15 42 12.9360917572 -52 53 07.457288240,0.057,15 42 12.94104,-52 53 07.4220,14.042,0.071,13.617,0.095,13.256,0.092
1,15 41 50.5907277343 -52 46 37.207235964,0.077,15 41 50.59248,-52 46 37.2828,10.892,0.022,10.17,0.024,9.977,0.026
1,15 41 55.5902064906 -52 54 19.957075292,0.063,15 41 55.59720,-52 54 19.9584,14.683,0.038,14.149,0.049,13.859,0.049
1,15 42 04.0173840931 -52 51 52.055002205,0.145,15 42 04.00536,-52 51 51.9588,14.759,0.056,14.291,0.053,14.082,0.093
1,15 42 19.2510100555 -52 45 03.839463934,0.052,15 42 19.24536,-52 45 03.8448,13.581,0.027,13.198,0.026,13.045,0.034
1,15 41 55.8950769793 -52 50 43.146773484,0.109,15 41 55.89768,-52 50 43.2528,13.629,,13.252,0.05,13.051,0.055
1,15 42 08.2202341725 -52 50 14.322597968,0.03,15 42 08.22288,-52 50 14.3052,11.048,0.041,10.414,0.029,10.191,0.046
1,15 41 54.4316915727 -52 49 15.009730044,0.122,15 41 54.44424,-52 49 14.9664,15.342,0.06,14.818,0.071,14.434,0.09
